model_name,condition,blocked_reaction_id
iML1515,galactose_aerobic,DOGULNR
iML1515,galactose_aerobic,EX_fuc__L_e
iML1515,galactose_aerobic,EX_met__D_e
iML1515,galactose_aerobic,EX_tartr__L_e
iML1515,galactose_aerobic,BETALDHx
iML1515,galactose_aerobic,BETALDHy
iML1515,galactose_aerobic,EX_taur_e
iML1515,galactose_aerobic,EX_maltpt_e
iML1515,galactose_aerobic,EX_glcur_e
iML1515,galactose_aerobic,DKGLCNR1
iML1515,galactose_aerobic,ACPS1
iML1515,galactose_aerobic,EX_nmn_e
iML1515,galactose_aerobic,ARAI
iML1515,galactose_aerobic,M1PD
iML1515,galactose_aerobic,GALS3
iML1515,galactose_aerobic,FCI
iML1515,galactose_aerobic,FCLK
iML1515,galactose_aerobic,FCLPA
iML1515,galactose_aerobic,EX_f6p_e
iML1515,galactose_aerobic,OP4ENH
iML1515,galactose_aerobic,EX_rmn_e
iML1515,galactose_aerobic,HOPNTAL
iML1515,galactose_aerobic,CYANST
iML1515,galactose_aerobic,EX_ttdca_e
iML1515,galactose_aerobic,3HPPPNH
iML1515,galactose_aerobic,GMAND
iML1515,galactose_aerobic,AMANK
iML1515,galactose_aerobic,EX_g6p_e
iML1515,galactose_aerobic,EX_2ddglcn_e
iML1515,galactose_aerobic,EX_mmet_e
iML1515,galactose_aerobic,NTRIR2x
iML1515,galactose_aerobic,GPDDA1
iML1515,galactose_aerobic,ASCBPL
iML1515,galactose_aerobic,ACBIPGT
iML1515,galactose_aerobic,ADOCBLS
iML1515,galactose_aerobic,EX_galct__D_e
iML1515,galactose_aerobic,ADOCBIK
iML1515,galactose_aerobic,HPPPNDO
iML1515,galactose_aerobic,DXYLK
iML1515,galactose_aerobic,DHCINDO
iML1515,galactose_aerobic,HKNDDH
iML1515,galactose_aerobic,HKNTDH
iML1515,galactose_aerobic,GPDDA5
iML1515,galactose_aerobic,MANPGH
iML1515,galactose_aerobic,AMANAPEr
iML1515,galactose_aerobic,EX_3hcinnm_e
iML1515,galactose_aerobic,EX_acac_e
iML1515,galactose_aerobic,EX_acmana_e
iML1515,galactose_aerobic,AP5AH
iML1515,galactose_aerobic,MI1PP
iML1515,galactose_aerobic,EX_galur_e
iML1515,galactose_aerobic,TAUDO
iML1515,galactose_aerobic,MLTG2
iML1515,galactose_aerobic,EX_but_e
iML1515,galactose_aerobic,MLTG1
iML1515,galactose_aerobic,AMALT3
iML1515,galactose_aerobic,EX_lcts_e
iML1515,galactose_aerobic,EX_ocdca_e
iML1515,galactose_aerobic,EX_cbl1_e
iML1515,galactose_aerobic,ACNML
iML1515,galactose_aerobic,TMK
iML1515,galactose_aerobic,EX_nac_e
iML1515,galactose_aerobic,UDPGD
iML1515,galactose_aerobic,GLCRD
iML1515,galactose_aerobic,PPPNDO
iML1515,galactose_aerobic,26DAHtex
iML1515,galactose_aerobic,HCINNMtex
iML1515,galactose_aerobic,HPPPNtex
iML1515,galactose_aerobic,ACMANAtex
iML1515,galactose_aerobic,ACMUMtex
iML1515,galactose_aerobic,BSORy
iML1515,galactose_aerobic,DMSOR2
iML1515,galactose_aerobic,SUCptspp
iML1515,galactose_aerobic,TSULabcpp
iML1515,galactose_aerobic,TARTRt7pp
iML1515,galactose_aerobic,EX_dad_2_e
iML1515,galactose_aerobic,EX_ser__D_e
iML1515,galactose_aerobic,DDGALK
iML1515,galactose_aerobic,EX_gam6p_e
iML1515,galactose_aerobic,AB6PGH
iML1515,galactose_aerobic,EX_ocdcea_e
iML1515,galactose_aerobic,EX_cynt_e
iML1515,galactose_aerobic,EX_galctn__D_e
iML1515,galactose_aerobic,AMALT1
iML1515,galactose_aerobic,EX_glyb_e
iML1515,galactose_aerobic,TAURabcpp
iML1515,galactose_aerobic,3HCINNMH
iML1515,galactose_aerobic,BSORx
iML1515,galactose_aerobic,NMNt7pp
iML1515,galactose_aerobic,EX_so3_e
iML1515,galactose_aerobic,GP4GH
iML1515,galactose_aerobic,XYLt2pp
iML1515,galactose_aerobic,EX_ascb__L_e
iML1515,galactose_aerobic,GLYBtex
iML1515,galactose_aerobic,GTPtex
iML1515,galactose_aerobic,EX_ala_B_e
iML1515,galactose_aerobic,EX_minohp_e
iML1515,galactose_aerobic,EX_ppt_e
iML1515,galactose_aerobic,H2tex
iML1515,galactose_aerobic,SPODMpp
iML1515,galactose_aerobic,EX_lyx__L_e
iML1515,galactose_aerobic,EX_acmum_e
iML1515,galactose_aerobic,EX_dca_e
iML1515,galactose_aerobic,EX_all__D_e
iML1515,galactose_aerobic,NO3R1bpp
iML1515,galactose_aerobic,EX_octa_e
iML1515,galactose_aerobic,PHYTSpp
iML1515,galactose_aerobic,EX_gbbtn_e
iML1515,galactose_aerobic,PPTHpp
iML1515,galactose_aerobic,NO3R2pp
iML1515,galactose_aerobic,EX_xylu__L_e
iML1515,galactose_aerobic,EX_gdp_e
iML1515,galactose_aerobic,EX_gtp_e
iML1515,galactose_aerobic,NTP3pp
iML1515,galactose_aerobic,NO3R2bpp
iML1515,galactose_aerobic,THMabcpp
iML1515,galactose_aerobic,TREptspp
