model_name,condition,blocked_reaction_id
iML1515,glucose_anaerobic,HKNDDH
iML1515,glucose_anaerobic,HKNTDH
iML1515,glucose_anaerobic,MDH2
iML1515,glucose_anaerobic,GPDDA5
iML1515,glucose_anaerobic,MANPGH
iML1515,glucose_anaerobic,URDGLYCD
iML1515,glucose_anaerobic,AMANAPEr
iML1515,glucose_anaerobic,EX_3hcinnm_e
iML1515,glucose_anaerobic,EX_acac_e
iML1515,glucose_anaerobic,EX_acmana_e
iML1515,glucose_anaerobic,AP5AH
iML1515,glucose_anaerobic,MI1PP
iML1515,glucose_anaerobic,EX_galur_e
iML1515,glucose_anaerobic,TAUDO
iML1515,glucose_anaerobic,NADH5
iML1515,glucose_anaerobic,MLTG2
iML1515,glucose_anaerobic,EX_but_e
iML1515,glucose_anaerobic,MLTG1
iML1515,glucose_anaerobic,AMALT3
iML1515,glucose_anaerobic,EX_lcts_e
iML1515,glucose_anaerobic,EX_ocdca_e
iML1515,glucose_anaerobic,EX_cbl1_e
iML1515,glucose_anaerobic,SPODM
iML1515,glucose_anaerobic,ACNML
iML1515,glucose_anaerobic,TMK
iML1515,glucose_anaerobic,CAT
iML1515,glucose_anaerobic,EX_nac_e
iML1515,glucose_anaerobic,UDPGD
iML1515,glucose_anaerobic,GLCRD
iML1515,glucose_anaerobic,PPPNDO
iML1515,glucose_anaerobic,26DAHtex
iML1515,glucose_anaerobic,HCINNMtex
iML1515,glucose_anaerobic,HPPPNtex
iML1515,glucose_anaerobic,ACMANAtex
iML1515,glucose_anaerobic,ACMUMtex
iML1515,glucose_anaerobic,BSORy
iML1515,glucose_anaerobic,DMSOR2
iML1515,glucose_anaerobic,SUCptspp
iML1515,glucose_anaerobic,TSULabcpp
iML1515,glucose_anaerobic,TARTRt7pp
iML1515,glucose_anaerobic,EX_dad_2_e
iML1515,glucose_anaerobic,EX_ser__D_e
iML1515,glucose_anaerobic,DDGALK
iML1515,glucose_anaerobic,EX_gam6p_e
iML1515,glucose_anaerobic,AB6PGH
iML1515,glucose_anaerobic,EX_ocdcea_e
iML1515,glucose_anaerobic,EX_cynt_e
iML1515,glucose_anaerobic,EX_galctn__D_e
iML1515,glucose_anaerobic,AMALT1
iML1515,glucose_anaerobic,EX_glyb_e
iML1515,glucose_anaerobic,AHGDx
iML1515,glucose_anaerobic,TAURabcpp
iML1515,glucose_anaerobic,3HCINNMH
iML1515,glucose_anaerobic,BSORx
iML1515,glucose_anaerobic,NMNt7pp
iML1515,glucose_anaerobic,EX_so3_e
iML1515,glucose_anaerobic,GP4GH
iML1515,glucose_anaerobic,XYLt2pp
iML1515,glucose_anaerobic,EX_ascb__L_e
iML1515,glucose_anaerobic,GLYBtex
iML1515,glucose_anaerobic,GTPtex
iML1515,glucose_anaerobic,EX_ala_B_e
iML1515,glucose_anaerobic,EX_minohp_e
iML1515,glucose_anaerobic,EX_ppt_e
iML1515,glucose_anaerobic,H2tex
iML1515,glucose_anaerobic,SPODMpp
iML1515,glucose_anaerobic,EX_lyx__L_e
iML1515,glucose_anaerobic,EX_acmum_e
iML1515,glucose_anaerobic,EX_dca_e
iML1515,glucose_anaerobic,EX_all__D_e
iML1515,glucose_anaerobic,NO3R1bpp
iML1515,glucose_anaerobic,O2tpp
iML1515,glucose_anaerobic,EX_octa_e
iML1515,glucose_anaerobic,PHYTSpp
iML1515,glucose_anaerobic,EX_gbbtn_e
iML1515,glucose_anaerobic,PPTHpp
iML1515,glucose_anaerobic,NO3R2pp
iML1515,glucose_anaerobic,EX_xylu__L_e
iML1515,glucose_anaerobic,EX_gdp_e
iML1515,glucose_anaerobic,EX_gtp_e
iML1515,glucose_anaerobic,NTP3pp
iML1515,glucose_anaerobic,NO3R2bpp
iML1515,glucose_anaerobic,THMabcpp
iML1515,glucose_anaerobic,TREptspp
iML1515,glucose_anaerobic,TMAOR1pp
iML1515,glucose_anaerobic,TMAOR2pp
iML1515,glucose_anaerobic,EX_tma_e
iML1515,glucose_anaerobic,DDGLCNtex
iML1515,glucose_anaerobic,XYLabcpp
iML1515,glucose_anaerobic,XYLUt2pp
iML1515,glucose_anaerobic,GALURtex
iML1515,glucose_anaerobic,FDMO
iML1515,glucose_anaerobic,EX_fruur_e
iML1515,glucose_anaerobic,GALtex
iML1515,glucose_anaerobic,CBL1abcpp
iML1515,glucose_anaerobic,EX_malttr_e
iML1515,glucose_anaerobic,ACACt2pp
iML1515,glucose_anaerobic,ACGAptspp
iML1515,glucose_anaerobic,ACMANAptspp
iML1515,glucose_anaerobic,ACNAMt2pp
iML1515,glucose_anaerobic,GALCTtex
iML1515,glucose_anaerobic,GALCTNtex
iML1515,glucose_anaerobic,GALTtex
iML1515,glucose_anaerobic,EX_cbi_e
iML1515,glucose_anaerobic,CHOLD
iML1515,glucose_anaerobic,EX_arbtn_fe3_e
iML1515,glucose_anaerobic,EX_cpgn_e
iML1515,glucose_anaerobic,EX_ch4_e
iML1515,glucose_anaerobic,EX_adocbl_e
iML1515,glucose_anaerobic,GAMtex
iML1515,glucose_anaerobic,GBBTNtex
iML1515,glucose_anaerobic,DAPabcpp
iML1515,glucose_anaerobic,DMSOR1pp
iML1515,glucose_anaerobic,ALLabcpp
iML1515,glucose_anaerobic,ALLTNt2rpp
iML1515,glucose_anaerobic,ASCBptspp
iML1515,glucose_anaerobic,GLCDpp
iML1515,glucose_anaerobic,HYD2pp
iML1515,glucose_anaerobic,NACtpp
iML1515,glucose_anaerobic,INSTtex
iML1515,glucose_anaerobic,GLCRtex
iML1515,glucose_anaerobic,GLCURtex
iML1515,glucose_anaerobic,GLNtex
iML1515,glucose_anaerobic,O2tex
iML1515,glucose_anaerobic,EX_ppa_e
iML1515,glucose_anaerobic,OCTAtex
iML1515,glucose_anaerobic,NTD8pp
iML1515,glucose_anaerobic,FRULYStex
iML1515,glucose_anaerobic,MALTtexi
iML1515,glucose_anaerobic,CRNt7pp
iML1515,glucose_anaerobic,EX_no_e
iML1515,glucose_anaerobic,DGSNt2pp
iML1515,glucose_anaerobic,DINSt2pp
iML1515,glucose_anaerobic,DURIt2pp
iML1515,glucose_anaerobic,FRUptspp
iML1515,glucose_anaerobic,FUCtpp
iML1515,glucose_anaerobic,GALCTt2rpp
iML1515,glucose_anaerobic,GALt2pp
iML1515,glucose_anaerobic,CSNt2pp
iML1515,glucose_anaerobic,CYNTt2pp
iML1515,glucose_anaerobic,SBTptspp
iML1515,glucose_anaerobic,TREHpp
iML1515,glucose_anaerobic,CYTBDpp
iML1515,glucose_anaerobic,DADNt2pp
iML1515,glucose_anaerobic,DCYTt2pp
iML1515,glucose_anaerobic,CYTBD2pp
iML1515,glucose_anaerobic,DDGLCNt2rpp
iML1515,glucose_anaerobic,RMNtex
iML1515,glucose_anaerobic,EX_fe3hox_e
iML1515,glucose_anaerobic,EX_fecrm_e
iML1515,glucose_anaerobic,EX_feoxam_e
iML1515,glucose_anaerobic,MALTTRtexi
iML1515,glucose_anaerobic,MALTTTRtexi
iML1515,glucose_anaerobic,MALTPTtexi
iML1515,glucose_anaerobic,ASPO3
iML1515,glucose_anaerobic,EX_3amp_e
iML1515,glucose_anaerobic,EX_3gmp_e
iML1515,glucose_anaerobic,EX_3ump_e
iML1515,glucose_anaerobic,ASPO6
iML1515,glucose_anaerobic,LCTStex
iML1515,glucose_anaerobic,FDMO3
iML1515,glucose_anaerobic,LYXtex
iML1515,glucose_anaerobic,MANtex
