model_name,model_id,num_reactions,num_metabolites,num_genes,objective
iML1515,iML1515,2712,1877,1516,1.0*BIOMASS_Ec_iML1515_core_75p37M - 1.0*BIOMASS_Ec_iML1515_core_75p37M_reverse_35685
iJO1366,iJO1366,2583,1805,1367,1.0*BIOMASS_Ec_iJO1366_core_53p95M - 1.0*BIOMASS_Ec_iJO1366_core_53p95M_reverse_5c8b1
