reaction_id,flux,absolute_flux
ATPS4rpp,70.43249366231504,70.43249366231504
H2Otpp,-47.16236480869423,47.16236480869423
H2Otex,-47.16236480869423,47.16236480869423
EX_h2o_e,47.16236480869422,47.16236480869422
CYTBO3_4pp,44.25628774288385,44.25628774288385
NADH16pp,37.99704395949195,37.99704395949195
CO2tex,-24.003293272975927,24.003293272975927
EX_co2_e,24.003293272975927,24.003293272975927
CO2tpp,-24.003293272975927,24.003293272975927
O2tex,22.13176323894587,22.13176323894587
O2tpp,22.13176323894587,22.13176323894587
EX_o2_e,-22.13176323894587,22.13176323894587
PGK,-17.10543360355007,17.10543360355007
GAPD,17.10543360355007,17.10543360355007
PGM,-15.598897532203528,15.598897532203528
ENO,15.598897532203528,15.598897532203528
EX_glc__D_e,-10.0,10.0
GLCtex_copy1,10.0,10.0
GLCptspp,10.0,10.0
PDH,9.689686793405729,9.689686793405729
NH4tpp,9.471495371048048,9.471495371048048
NH4tex,9.471495371048048,9.471495371048048
EX_nh4_e,-9.471495371048048,9.471495371048048
PFK,8.451763770252557,8.451763770252557
FBA,8.451763770252557,8.451763770252557
TPI,8.328231696622803,8.328231696622803
EX_h_e,8.058200328043615,8.058200328043615
Htex,-8.058200328043615,8.058200328043615
PGI,7.644633780205896,7.644633780205896
GLUDy,-7.49949478213882,7.49949478213882
ACONTb,6.913003110880918,6.913003110880918
ACONTa,6.913003110880918,6.913003110880918
CS,6.913003110880917,6.913003110880917
ICDHyr,6.913003110880915,6.913003110880915
MDH,6.8845884011334695,6.8845884011334695
FUM,6.8845884011334695,6.8845884011334695
ATPM,6.86,6.86
SUCDi,6.2606697808625595,6.2606697808625595
AKGDH,5.970062721906753,5.970062721906753
SUCOAS,-5.509676018215598,5.509676018215598
PPA,3.0708609971405445,3.0708609971405445
PPM,-2.9942298575411184,2.9942298575411184
R1PK,2.993639638415809,2.993639638415809
R15BPK,2.993639638415809,2.993639638415809
PPC,2.596107325082661,2.596107325082661
ASPTA,-2.567692615335215,2.567692615335215
GND,2.3553662197941034,2.3553662197941034
G6PDH2r,2.3553662197941034,2.3553662197941034
PGL,2.3553662197941034,2.3553662197941034
PYK,2.275813890188207,2.275813890188207
PRPPS,-2.1756897694389967,2.1756897694389967
FADRx,1.9170194410437746,1.9170194410437746
PSP_L,1.5065360713465412,1.5065360713465412
PSERT,1.506536071346541,1.506536071346541
PGCD,1.506536071346541,1.506536071346541
RPI,-1.4304625198276184,1.4304625198276184
GLNS,1.3737784255196193,1.3737784255196193
